wbs1,wbs1_name,wbs2,wbs2_name,wbs3,wbs3_name,role,day,hours,comment
R26.0002.00,Cascade Elementary School Addition,01,Schematic Design,,,Project Architect,2024-03-04,8,Program verification with district
R26.0002.00,Cascade Elementary School Addition,01,Schematic Design,,,Project Architect,2024-03-05,8,Site visit and existing conditions survey
R26.0002.00,Cascade Elementary School Addition,01,Schematic Design,,,Project Architect,2024-03-11,8,Massing study round 1
R26.0002.00,Cascade Elementary School Addition,01,Schematic Design,,,Project Architect,2024-03-13,6,Coordinated with structural on options
R26.0002.00,Cascade Elementary School Addition,01,Schematic Design,,,Designer I,2024-03-11,8,Built SketchUp massing model
R26.0002.00,Cascade Elementary School Addition,01,Schematic Design,,,Designer I,2024-03-12,4,Refined massing per PA comments
R26.0002.00,Cascade Elementary School Addition,02,Construction Management,CA,Contract Administration,Project Architect,2024-06-10,8,Reviewed steel submittal
R26.0002.00,Cascade Elementary School Addition,02,Construction Management,CA,Contract Administration,Project Architect,2024-06-11,8,RFI response - roof drain detail
R26.0002.00,Cascade Elementary School Addition,02,Construction Management,CA,Contract Administration,Project Architect,2024-06-18,6,Change order review
R26.0002.00,Cascade Elementary School Addition,02,Construction Management,SO,Site Observation,Field Observer,2024-06-12,4,Rebar inspection prior to pour
R26.0002.00,Cascade Elementary School Addition,02,Construction Management,SO,Site Observation,Field Observer,2024-06-19,6,Structural steel erection observation
R26.0002.00,Cascade Elementary School Addition,02,Construction Management,SO,Site Observation,Field Observer,2024-06-26,6,Progress photos and punch prep
