wbs1,wbs1_name,wbs2,wbs2_name,wbs3,wbs3_name,role,day,hours,comment
R26.0001.00,Riverside Medical Center,01,Schematic Design,,,Project Architect,2024-01-15,8,Initial site analysis
R26.0001.00,Riverside Medical Center,01,Schematic Design,,,Project Architect,2024-01-16,8,"Client kickoff prep, agenda drafted"
R26.0001.00,Riverside Medical Center,01,Schematic Design,,,Project Architect,2024-01-17,8,Zoning review
R26.0001.00,Riverside Medical Center,01,Schematic Design,,,Project Architect,2024-01-22,8,Concept massing studies
R26.0001.00,Riverside Medical Center,01,Schematic Design,,,Project Architect,2024-01-24,8,Concept massing studies continued
R26.0001.00,Riverside Medical Center,01,Schematic Design,,,Designer I,2024-01-22,6,Prepared study model
R26.0001.00,Riverside Medical Center,02,Construction Management,CA,Contract Administration,Project Architect,2024-02-05,8,RFI log setup
R26.0001.00,Riverside Medical Center,02,Construction Management,CA,Contract Administration,Project Architect,2024-02-06,8,"Reviewed submittals, flagged two"
R26.0001.00,Riverside Medical Center,02,Construction Management,CA,Contract Administration,Project Architect,2024-02-12,8,Processed RFIs
R26.0001.00,Riverside Medical Center,02,Construction Management,SO,Site Observation,Field Observer,2024-02-07,4,Foundation inspection
R26.0001.00,Riverside Medical Center,02,Construction Management,SO,Site Observation,Field Observer,2024-02-14,6,Framing progress walk
R26.0001.00,Riverside Medical Center,02,Construction Management,SO,Site Observation,Field Observer,2024-02-21,6,Mid-construction inspection
