wbs1,wbs1_name,wbs2,wbs2_name,wbs3,wbs3_name,role,day,hours,comment
R25.0114.00,Northgate Office Renovation,01,Design Development,,,Project Architect,2023-11-06,8,DD floor plan revisions
R25.0114.00,Northgate Office Renovation,01,Design Development,,,Project Architect,2023-11-07,8,Coordinated MEP clashes
R25.0114.00,Northgate Office Renovation,01,Design Development,,,Interior Designer,2023-11-06,8,Finish schedule draft
R25.0114.00,Northgate Office Renovation,01,Design Development,,,Interior Designer,2023-11-13,6,Client finish selection meeting
R25.0114.00,Northgate Office Renovation,02,Construction Documents,,,Project Architect,2023-12-04,8,CD set - life safety plans
R25.0114.00,Northgate Office Renovation,02,Construction Documents,,,Project Architect,2023-12-05,8,Specification review
R25.0114.00,Northgate Office Renovation,02,Construction Documents,,,Project Engineer,2023-12-04,8,Detailing curtain wall connections
R25.0114.00,Northgate Office Renovation,02,Construction Documents,,,Project Engineer,2023-12-11,6,Structural calcs review
R25.0114.00,Northgate Office Renovation,03,Construction Management,CA,Contract Administration,Project Architect,2024-02-05,8,Submittal review - ceiling tile
R25.0114.00,Northgate Office Renovation,03,Construction Management,CA,Contract Administration,Project Architect,2024-02-12,6,RFI - existing conditions discrepancy
R25.0114.00,Northgate Office Renovation,03,Construction Management,SO,Site Observation,Field Observer,2024-02-06,4,Demo observation
R25.0114.00,Northgate Office Renovation,03,Construction Management,SO,Site Observation,Field Observer,2024-02-20,4,Punch list walk
